idx,name_en,name_ko,winery_en,haiku_query,haiku_brand,haiku_grape,haiku_vintage,haiku_style,haiku_promo,gemini_query,gemini_brand,gemini_grape,gemini_vintage,gemini_style,gemini_promo
"1","Domaine Chauvenet Chopin Bourgogne Rouge","도멘 쇼바네 쇼팽 부르고뉴 루즈","Domaine Chauvenet Chopin","Domaine Chauvenet Chopin Bourgogne","Bourgogne Rouge","",,"Red",,"",,"",,,
"2","Field Day Monterra Pinot Grigio","필드데이 몬테라 피노 그리지오","Field Day Wine Co.","Field Day Monterra Pinot","Monterra Pinot Grigio","Pinot Grigio",,"White",,"",,"",,,
"3","Toques et Clochers Clocher de Conilhac de la Montagne","토크 에 클로쉐 클로쉐 드 코니악 드 라 몽따뉴","Sieur d'Arques","Sieur d'Arques Clocher Conilhac","Clocher de Conilhac de la Montagne","",,,,"",,"",,,
"4","Paulett Missy Polish Hill River Riesling","파울렛 미씨 리슬링","Paulett","Paulett Missy Polish Hill","Missy Polish Hill River Riesling","Riesling",,"White",,"",,"",,,
"5","Maison Camille Giroud Bourgogne Chardonnay","메종 까밀 지로 부르고뉴 샤도네이","Maison Camille Giroud","Maison Camille Giroud Bourgogne","Bourgogne Chardonnay","Chardonnay",,"White",,"",,"",,,
"6","Champagne Jules Lassalle Cuvee Special Club Brut Vintage","샴페인 줄 라쌀 뀌베 스페셜 클럽 브뤼","Champagne Jules Lassalle","Champagne Jules Lassalle Special Club","Cuvee Special Club Brut Vintage","",,"Sparkling",,"",,"",,,
"7","Bel Colle Barbera d'Alba Superiore Le Masche","벨 꼴레 바르베라 달바 슈페리오레 르 마쉐","Bel Colle","Bel Colle Barbera Alba Le Masche","Barbera d'Alba Superiore Le Masche","Barbera",,"Red",,"",,"",,,
"8","Gesellmann Op Eximium Cuvee No.19","겔셀만 오푸스 19","Gesellmann","Gesellmann Op Eximium Cuvee","Op Eximium Cuvee No.19","",,,,"",,"",,,
"9","Charodon Meursault 'Les Chevalières'","샤호동 뫼르소 '레 슈발리에르'","Charodon","Charodon Meursault Chevalières","Meursault Les Chevalières","",,"White",,"",,"",,,
"10","Cramele Recas Unwined Stranger Pinot Noir","크라멜레 레카스 언 와인드 스트레인저 피노 누아","Cramele Recas","Cramele Recas Unwined Stranger","Unwined Stranger Pinot Noir","Pinot Noir",,"Red",,"",,"",,,
"11","Hudson Syrah Napa Valle","허드슨 쉬라 나파 밸리","Hudson Ranch Vineyard","Hudson Ranch Syrah Napa","Syrah","Syrah",,"Red",,"",,"",,,
"12","Qmerioni Tsinandali","퀴메리오니 치난달리","Qimerioni [B2B]","Qmerioni Tsinandali","Tsinandali","",,"White",,"",,"",,,
"13","Tesco Vin de France White Wine","테스코 뱅 드 프랑스 화이트 와인","Tesco Group [Tesco Simply Wine]","Tesco Vin de France White","Vin de France","",,"White",,"",,"",,,
"14","Mirabueno Tinto Tempranillo","미라부에노 틴토 템프라니오","Bodega Union Campesina Iniestense [UCI]","Mirabueno Tinto Tempranillo","Mirabueno Tinto","Tempranillo",,"Red",,"",,"",,,
"15","Domaine Bruno Clair Marsannay Rose","도멘 브루노 끌레어 마르산네 로제","Domaine Bruno Clair","Bruno Clair Marsannay Rose","Marsannay","",,"Rosé",,"",,"",,,
"16","Redheads wine Esule Women with Gun","레드헤즈 와인 에술레 우먼 위드 건","Redheads wine","Redheads Esule Women Gun","Esule Women with Gun","",,,,"",,"",,,
"17","Piesporter Goldtroepfchen Riesling Spaetlese","피스포터 골드트룁피헨 리슬링 슈패트레제","Piesporter Goldtroepfchen","Piesporter Goldtroepfchen Riesling","Goldtroepfchen Riesling","Riesling",,"White",,"",,"",,,
"18","Olivier Leflaive Bourgogne 'Cuvee Margot'","올리비에 르플레브 부르고뉴 '뀌베 마고'","Domaine Olivier Leflaive","Olivier Leflaive Cuvee Margot","Bourgogne Cuvee Margot","",,,,"",,"",,,
"19","Royal Prince Santa Maria Pinot","로얄 프린스 산타 마리아 피노","Royal Prince","Royal Prince Santa Maria Pinot","Santa Maria Pinot","",,"Red",,"",,"",,,
"20","Walnut Block Wines Nutcracker Sauvignon Blanc","월넛블럭 넛크래커 소비뇽 블랑","Walnut Block Wines","Walnut Block Nutcracker Sauvignon","Nutcracker","Sauvignon Blanc",,"White",,"",,"",,,
"21","Tenuta di Biserno Lodovico","테누타 디 비세르노 로도비코","Tenuta di Biserno","Tenuta di Biserno Lodovico","Lodovico","",,"Red",,"Tenuta di Biserno Lodovico","Lodovico","",,,
"22","Gordon Brothers Merlot","고든 브라더스 메를로","Gordon Brothers","Gordon Brothers Merlot","Merlot","Merlot",,"Red",,"Gordon Brothers","Merlot","Merlot",,,
"23","Smidge Wines Matt Wenk Langhorne Creek Shiraz","스밋지 맷 웽크 랑혼 크릭 쉬라즈","Smidge Wines","Smidge Wines Matt Wenk","Matt Wenk","Shiraz",,"Red",,"Smidge Wines Matt Wenk","Matt Wenk Langhorne Creek Shiraz","Shiraz",,,
"24","MM CAVA Selection Especial Brut 1882","엠 까바 셀렉션 이스페셜 브뤼 1882","Marques de Monistrol","MM CAVA Selection Especial","CAVA Selection Especial Brut","","1882","Sparkling",,"Marques de Monistrol CAVA Selection","MM CAVA Selection Especial Brut 1882","",,"Sparkling",
"25","Les Grangettes Merlot","레 그랑게뜨 메를로","G.V.G","Les Grangettes Merlot","Les Grangettes","Merlot",,"Red",,"G.V.G Les Grangettes","Les Grangettes Merlot","Merlot",,,
"26","Le Vigne di Eli Etna Rosso Moganazzi-Voltasciara","레 비네 디 엘리 에트나 로쏘 모가나찌-볼타시아라","Le Vigne di Eli","Le Vigne di Eli Etna Rosso","Etna Rosso Moganazzi-Voltasciara","",,"Red",,"Le Vigne di Eli Etna Moganazzi","Etna Rosso Moganazzi-Voltasciara","",,"Red",
"27","Brandland Rattalino Barolo","브랜드랜드 라타리노 바롤로","Brandland SRL [B2B]","Brandland Rattalino Barolo","Rattalino Barolo","",,"Red",,"Brandland Rattalino","Rattalino Barolo","",,,
"28","Claus Preisinger ErDELuftGRAsundre BEN Blaufränkisch","클라우스 프라이진거 에르델루프트그라스운트레 벤 블라우프랜키쉬","Claus Preisinger","Claus Preisinger ErDELuftGRAsundre","ErDELuftGRAsundre BEN","Blaufränkisch",,"Red",,"Claus Preisinger ErDELuftGRAsundre","ErDELuftGRAsundre BEN Blaufränkisch","Blaufränkisch",,,
"29","Hugh Hamilton Jim Jim Shiraz","휴 해밀턴 짐짐 쉬라즈","Hugh Hamilton","Hugh Hamilton Jim Jim","Jim Jim","Shiraz",,"Red",,"Hugh Hamilton Jim Jim","Jim Jim Shiraz","Shiraz",,,
"30","Vina Canepa WMS Gewurztraminer","비냐 카네파 와인메이커스 셀렉션 게뷔르츠트라미너","Vina Canepa","Vina Canepa WMS Gewurztraminer","WMS","Gewurztraminer",,"White",,"Vina Canepa WMS","WMS Gewurztraminer","Gewurztraminer",,,
"31","Tsereteli Winery Rkatsiteli","체레텔리 와이너리 르카치텔리","Tsereteli Winery [B2B]","Tsereteli Winery Rkatsiteli","Rkatsiteli","Rkatsiteli",,"White",,"Tsereteli Winery Rkatsiteli","Rkatsiteli","Rkatsiteli",,,
"32","Mauritson Sauvignon Blanc","마우릿슨 소비뇽 블랑","Mauritson","Mauritson Sauvignon Blanc","Sauvignon Blanc","Sauvignon Blanc",,"White",,"Mauritson Sauvignon Blanc","Sauvignon Blanc","Sauvignon Blanc",,,
"33","Maison Malesan Belvino","메종 말르샹 벨비노","CASTEL [Groupe CASTEL]","Maison Malesan Belvino","Maison Malesan Belvino","",,,,"CASTEL Maison Malesan Belvino","Maison Malesan Belvino","",,,
"34","Savart Expression 1er Rose Blanc de Noirs Brut Nature","사바르 엑스프레시옹 1er 로제 블랑 드 누아 브뤼 나뚜르","Champagne Savart","Champagne Savart Expression Blanc Noirs","Expression 1er Rose Blanc de Noirs Brut Nature","",,"Sparkling",,"Champagne Savart Expression","Expression","",,"Sparkling",
