type,status,name_ko,name_en,naver_value,vivino_value,id
grape,DIFFERENT,"펜폴즈 쿠능가 힐 쉬라즈","Penfolds Koonunga Hill Shiraz","쉬라즈","Cabernet Sauvignon",1509f325-af46-4029-9905-16592e7a3e08
grape,DIFFERENT,"파밀 페랭 지공다스","Famille Perrin Gigondas 2012","그르나슈","Shiraz/Syrah, Grenache",2e31bb28-11e0-49f6-b350-d112d3e57bd0
grape,DIFFERENT,"코노수르 비씨클레타 까르미네르","Concha y Toro Bicicleta Carménère","까르미네르","Carménère, Cabernet Sauvignon",9c3b0077-74a3-497f-a67e-5519b0e5479c
grape,DIFFERENT,"포울스 레이디스 후 슛 데얼 런치 쉬라즈","Fowles Ladies Who Shoot Their Lunch Shiraz","쉬라즈","Chardonnay",3750930f-6c42-46f6-80c4-046ef86c981a
grape,DIFFERENT,"더 프리즈너 레드 블렌드","The Prisoner Red Blend","진판델, 까베르네 소비뇽, 시라","Shiraz/Syrah, Cabernet Sauvignon, Petite Sirah, Charbono",a52ad431-0ef2-4829-b059-18966ef10d42
grape,DIFFERENT,"그르기치 힐스 이스테이트 나파 밸리 소비뇽 블랑","Grgich Hills Estate Napa Valley Sauvignon Blanc","소비뇽 블랑","Cabernet Sauvignon",6aba3e32-d10d-4c63-ba76-a979cda61558
grape,DIFFERENT,"울프 블라스 빌야라 쉬라즈","Wolf Blass Billabong Shiraz","쉬라즈","Cabernet Sauvignon",c69c1cf0-8eec-4410-a8ae-9d2c1da81bf5
grape,DIFFERENT,"펜폴즈 쿠능가 힐 쉬라즈 2017","Penfolds Koonunga Hill Shiraz","쉬라즈","Cabernet Sauvignon",77d5bec7-9bd3-4569-b419-996bfd2a6ccb
grape,DIFFERENT,"도멘 오트 샤토 로마쌍 반돌 레드","Domaines Ott Château de Selle Rosé 2020","무르베드르","Shiraz/Syrah, Mourvedre, Cinsault, Grenache",de4bc983-c613-4f08-b4f4-bf141cfecfb4
grape,DIFFERENT,"Domaine Michel Magnien Gevrey-Chambertin Seuvrées Vieilles Vignes","Domaine Michel Magnien Gevrey-Chambertin Seuvrées Vieilles Vignes","피노 누아","Shiraz/Syrah",e479bae1-cb0b-4009-ae03-81bc852604b4
grape,DIFFERENT,"폴 쉐노 블랑 드 블랑 까바 브뤼 리제르바","Paul Cheneau Blanc de Blancs Cava Brut Reserva","차르도네","Macabeo, Xarel-lo, Parellada",6af89f19-c250-4de8-b0fc-b3e1c6212ad4
grape,DIFFERENT,"O 리슬링/쇼비뇽블랑","O Riesling/Sauvignon Blanc","리슬링, 쇼비뇽블랑","Riesling, Sauvignon Blanc",f306907d-8ff6-4019-8021-49dd091c516d
grape,DIFFERENT,"SL 프리미티보 수수마니엘로 IGT 살렌토","SL Primitivo Susumaniello IGT Salento","프리미티보, 수수마니엘로","Primitivo, Susumaniello",c44ca536-d56a-4d6d-aed8-4a830839df98
grape,DIFFERENT,"폰타나프레다 브라케토 다퀴 2018","Fontanafredda Brachetto d'Acqui 2018","브라케토","Brachetto",c4c5d27c-81c8-4930-a126-9a540cbfff23
grape,DIFFERENT,"샤토 라 플뢰르 페트뤼스 2008","Chateau La Fleur Petrus 2008","메를로, 까베르네 프랑","Merlot, Cabernet Sauvignon",cbd8ef65-433a-413b-8811-1879376d1d2e
grape,DIFFERENT,"아델리나 쉬라즈 마타로","Adelina Shiraz Mataro","쉬라즈, 마타로","Arneis",d7c7a5ab-ecf1-44b6-8dd4-81b0ac1ce676
grape,DIFFERENT,"쌩 클레어 파이오니어 블록 게브르츠트라미너","Saint Clair Pioneer Block Gewurztraminer","게브르츠트라미너","Gewürztraminer",ed88301a-2914-4a44-86d7-bb1aff1cd697
grape,DIFFERENT,"라피스 루나 피노 누아","Lapis Luna Pinot Noir","피노 누아","Negroamaro",eab0487f-7151-42b9-886e-39e81209bbfd
grape,DIFFERENT,"안델루나 1300 말백","Andeluna 1300 Malbec","말백","Malbec",744d9917-5cdd-477c-a5bc-00fa82d87590
grape,DIFFERENT,"토마시 아마로네 델라 발폴리첼라 클라시코","Tommasi Amarone della Valpolicella Classico","아마로네","Corvinone, Oseleta, Corvina, Rondinella",96fac5da-d727-43da-bd7f-2b169375488e
grape,DIFFERENT,"뵈브 클리코 로제","Veuve Clicquot Rosé","알 수 없음","Pinot Meunier, Pinot Noir, Chardonnay",c1861595-3143-4911-920d-adb3105584af
grape,DIFFERENT,"모엣 샹동 로제 임페리얼","Moët Chandon Rosé Impérial","알 수 없음","45% Pinot Noir, 40% Pinot Meunier, 15% Chardonnay",fe1774ad-3e4a-4633-af06-d5861055bb6c
grape,DIFFERENT,"우마니 론끼 비고르 화이트","Umani Ronchi Vigor White","알 수 없음","Sangiovese, Merlot",50ad9df1-5a26-4f10-accd-25a26a2083ed
