match_status,field,name_ko,name_en,naver_value,vivino_value,id
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","프레스코발디 니포짜노 끼안티 리제르바","Frescobaldi Nipozzano Chianti Riserva","산지오베제","Sangiovese",8033fcc6-8a56-4650-891e-9643fc0b0a6e
MISMATCH,"지역 (region vs vivino_region)","프레스코발디 니포짜노 끼안티 리제르바","Frescobaldi Nipozzano Chianti Riserva","토스카나","Italy / Central Italy / Toscana / Chianti / Chianti Rùfina",8033fcc6-8a56-4650-891e-9643fc0b0a6e
MISMATCH,"생산자 (producer vs vivino_winery)","프레스코발디 니포짜노 끼안티 리제르바","Frescobaldi Nipozzano Chianti Riserva","Marchesi de' Frescobaldi","Castello Nipozzano",8033fcc6-8a56-4650-891e-9643fc0b0a6e
MISMATCH,"스타일 (wine_type vs vivino_style)","프레스코발디 니포짜노 끼안티 리제르바","Frescobaldi Nipozzano Chianti Riserva","red","Italian Chianti",8033fcc6-8a56-4650-891e-9643fc0b0a6e
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","티키 싱글 빈야드 리슬링","Tiki Single Vineyard Riesling","리슬링","Riesling",807ca247-886a-4d52-b02f-866fc44bf1ec
VIVINO_ONLY,"지역 (region vs vivino_region)","티키 싱글 빈야드 리슬링","Tiki Single Vineyard Riesling","","New Zealand / South Island / Canterbury / Waipara",807ca247-886a-4d52-b02f-866fc44bf1ec
MISMATCH,"생산자 (producer vs vivino_winery)","티키 싱글 빈야드 리슬링","Tiki Single Vineyard Riesling","티키","Tiki Wine & Vineyards",807ca247-886a-4d52-b02f-866fc44bf1ec
MISMATCH,"스타일 (wine_type vs vivino_style)","티키 싱글 빈야드 리슬링","Tiki Single Vineyard Riesling","white","New Zealand Riesling",807ca247-886a-4d52-b02f-866fc44bf1ec
VIVINO_ONLY,"포도품종 (grape_variety vs vivino_grapes)","샤를 미뇽 프리미엄 리저브 브뤼 로제","Charles Mignon Premium Reserve Brut Rosé","","55% Pinot Meunier, 25% Chardonnay, 20% Pinot Noir",00d0d58e-6847-439f-bb74-3a5260beee89
MISMATCH,"지역 (region vs vivino_region)","샤를 미뇽 프리미엄 리저브 브뤼 로제","Charles Mignon Premium Reserve Brut Rosé","샹파뉴","France / Champagne / Champagne Premier Cru",00d0d58e-6847-439f-bb74-3a5260beee89
MISMATCH,"생산자 (producer vs vivino_winery)","샤를 미뇽 프리미엄 리저브 브뤼 로제","Charles Mignon Premium Reserve Brut Rosé","Charles Mignon","Charles Mignon",00d0d58e-6847-439f-bb74-3a5260beee89
MISMATCH,"스타일 (wine_type vs vivino_style)","샤를 미뇽 프리미엄 리저브 브뤼 로제","Charles Mignon Premium Reserve Brut Rosé","sparkling","French Champagne",00d0d58e-6847-439f-bb74-3a5260beee89
VIVINO_ONLY,"포도품종 (grape_variety vs vivino_grapes)","19 크라임스 업라이징 레드","19 Crimes Uprising Red","","Cabernet Sauvignon",6ffe416b-50bb-482a-be7e-6657c708e400
VIVINO_ONLY,"지역 (region vs vivino_region)","19 크라임스 업라이징 레드","19 Crimes Uprising Red","","Australia / South Eastern Australia",6ffe416b-50bb-482a-be7e-6657c708e400
MISMATCH,"생산자 (producer vs vivino_winery)","19 크라임스 업라이징 레드","19 Crimes Uprising Red","19 크라임스","19 Crimes",6ffe416b-50bb-482a-be7e-6657c708e400
MISMATCH,"스타일 (wine_type vs vivino_style)","19 크라임스 업라이징 레드","19 Crimes Uprising Red","red","Australian Cabernet Sauvignon",6ffe416b-50bb-482a-be7e-6657c708e400
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","로건 위말라 쉬라즈 비오니에","Logan Weemala Shiraz Viognier","쉬라즈, 비오니에","Shiraz/Syrah, Viognier",84b0e6c9-6593-4701-938a-69aa450fd548
VIVINO_ONLY,"지역 (region vs vivino_region)","로건 위말라 쉬라즈 비오니에","Logan Weemala Shiraz Viognier","","Australia / New South Wales / Central Ranges",84b0e6c9-6593-4701-938a-69aa450fd548
MISMATCH,"생산자 (producer vs vivino_winery)","로건 위말라 쉬라즈 비오니에","Logan Weemala Shiraz Viognier","로건","Logan",84b0e6c9-6593-4701-938a-69aa450fd548
MISMATCH,"스타일 (wine_type vs vivino_style)","로건 위말라 쉬라즈 비오니에","Logan Weemala Shiraz Viognier","red","Australian Syrah - Viognier",84b0e6c9-6593-4701-938a-69aa450fd548
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","프론테라 샤르도네","Frontera Chardonnay","샤르도네","Chardonnay",84d46ca4-4b3b-4485-abd2-4dc93f9f292e
VIVINO_ONLY,"지역 (region vs vivino_region)","프론테라 샤르도네","Frontera Chardonnay","","Chile / Central Valley",84d46ca4-4b3b-4485-abd2-4dc93f9f292e
MISMATCH,"생산자 (producer vs vivino_winery)","프론테라 샤르도네","Frontera Chardonnay","프론테라","Frontera",84d46ca4-4b3b-4485-abd2-4dc93f9f292e
MISMATCH,"스타일 (wine_type vs vivino_style)","프론테라 샤르도네","Frontera Chardonnay","white","Chilean Chardonnay",84d46ca4-4b3b-4485-abd2-4dc93f9f292e
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","폰타나프레다 르프롱드 모스카토 다스티","Fontanapredda Le Fronde Moscato d'Asti","모스카토","Moscato",856200bc-3954-40e2-81d3-95e52db57010
MISMATCH,"지역 (region vs vivino_region)","폰타나프레다 르프롱드 모스카토 다스티","Fontanapredda Le Fronde Moscato d'Asti","피에몬테","Italy / Northern Italy / Piemonte / Moscato d'Asti",856200bc-3954-40e2-81d3-95e52db57010
MISMATCH,"생산자 (producer vs vivino_winery)","폰타나프레다 르프롱드 모스카토 다스티","Fontanapredda Le Fronde Moscato d'Asti","폰타나프레다","Fontanafredda",856200bc-3954-40e2-81d3-95e52db57010
MISMATCH,"스타일 (wine_type vs vivino_style)","폰타나프레다 르프롱드 모스카토 다스티","Fontanapredda Le Fronde Moscato d'Asti","sparkling","Italian Moscato d'Asti",856200bc-3954-40e2-81d3-95e52db57010
VIVINO_ONLY,"포도품종 (grape_variety vs vivino_grapes)","폴 로제 큐베 윈스턴 처칠 브뤼 2009","Pol Roger Cuvée Sir Winston Churchill Brut 2009","","Chardonnay, Pinot Noir",0005c373-29d9-49f2-8b92-1bd19b49f326
MISMATCH,"지역 (region vs vivino_region)","폴 로제 큐베 윈스턴 처칠 브뤼 2009","Pol Roger Cuvée Sir Winston Churchill Brut 2009","샹파뉴","France / Champagne",0005c373-29d9-49f2-8b92-1bd19b49f326
MISMATCH,"생산자 (producer vs vivino_winery)","폴 로제 큐베 윈스턴 처칠 브뤼 2009","Pol Roger Cuvée Sir Winston Churchill Brut 2009","Pol Roger","Pol Roger",0005c373-29d9-49f2-8b92-1bd19b49f326
MISMATCH,"스타일 (wine_type vs vivino_style)","폴 로제 큐베 윈스턴 처칠 브뤼 2009","Pol Roger Cuvée Sir Winston Churchill Brut 2009","sparkling","French Champagne",0005c373-29d9-49f2-8b92-1bd19b49f326
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","랑메일 올판 뱅크 쉬라즈","Langmeil Orphan Bank Shiraz","쉬라즈","Shiraz/Syrah",84cdd252-630a-4980-aa4d-00324ee77032
MISMATCH,"지역 (region vs vivino_region)","랑메일 올판 뱅크 쉬라즈","Langmeil Orphan Bank Shiraz","바로사 밸리","Australia / South Australia / Barossa",84cdd252-630a-4980-aa4d-00324ee77032
MISMATCH,"생산자 (producer vs vivino_winery)","랑메일 올판 뱅크 쉬라즈","Langmeil Orphan Bank Shiraz","랑메일","Langmeil",84cdd252-630a-4980-aa4d-00324ee77032
MISMATCH,"스타일 (wine_type vs vivino_style)","랑메일 올판 뱅크 쉬라즈","Langmeil Orphan Bank Shiraz","red","South Australia Shiraz",84cdd252-630a-4980-aa4d-00324ee77032
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","그랜트 버지 힐콧 메를로","Grant Burge Hillcot Merlot","메를로","Merlot",85288098-ba74-4063-bb9a-fe9755c426f7
VIVINO_ONLY,"지역 (region vs vivino_region)","그랜트 버지 힐콧 메를로","Grant Burge Hillcot Merlot","","Australia / South Australia / Barossa",85288098-ba74-4063-bb9a-fe9755c426f7
MISMATCH,"생산자 (producer vs vivino_winery)","그랜트 버지 힐콧 메를로","Grant Burge Hillcot Merlot","그랜트 버지","Grant Burge Wines",85288098-ba74-4063-bb9a-fe9755c426f7
MISMATCH,"스타일 (wine_type vs vivino_style)","그랜트 버지 힐콧 메를로","Grant Burge Hillcot Merlot","red","Australian Merlot",85288098-ba74-4063-bb9a-fe9755c426f7
MISMATCH,"포도품종 (grape_variety vs vivino_grapes)","제이콥스 크릭 클래식 리슬링","Jacobs Creek Classic Riesling","리슬링","Riesling",855ac7ae-385e-422a-a0f0-bddb772c9c0e
MISMATCH,"지역 (region vs vivino_region)","제이콥스 크릭 클래식 리슬링","Jacobs Creek Classic Riesling","남호주","Australia / South Eastern Australia",855ac7ae-385e-422a-a0f0-bddb772c9c0e
MISMATCH,"생산자 (producer vs vivino_winery)","제이콥스 크릭 클래식 리슬링","Jacobs Creek Classic Riesling","제이콥스 크릭","Jacob's Creek",855ac7ae-385e-422a-a0f0-bddb772c9c0e
